target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pl_cue,pl_target,pl_word_combo_related,pl_word_combo_unrelated,pl_cue_word_related,pl_cue_word_unrelated
bezpośrednio,714.397385733565,663.478000007872,-0.137260146057518,-0.265431107705817,35.1805112170402,23.1660310108589,0.0927906989537293,0.0759223862530535,80,98,0,0,70,87,71,87,0,0,0.985915492957746,1,80,98,0,0,67,87,71,87,0,0,0.943661971830986,1,70,87,-50.9193857256925,-0.128170961648298,pl,direct,directly,bezpośredni,bezpośrednio,bezpośrednibezpośrednio,ekscytującybezpośrednio,bezpośredni,ekscytujący
bezsilny,589.235000001583,699.00037078779,-0.539065967242259,-0.178556133785009,19.9203504935417,25.8825742584899,0.0553069345108,0.0713540266024901,71,93,1,2,66,89,66,89,1,1,1,1,71,93,1,2,66,88,66,89,1,1,1,0.98876404494382,66,89,109.765370786207,0.36050983345725,pl,helpless,powerless,bezradny,bezsilny,bezradnybezsilny,farbabezsilny,bezradny,farba
bezwartościowy,803.895764704619,718.490084340786,0.18886062839901,0.0287517443889341,41.4254322333318,26.3706357202782,0.121377180046319,0.0835940754456321,94,91,2,4,85,83,86,84,1,1,0.988372093023256,0.988095238095238,94,92,2,3,79,82,86,84,1,1,0.918604651162791,0.976190476190476,85,83,-85.4056803638327,-0.160108884010076,pl,useless,worthless,nieprzydatny,bezwartościowy,nieprzydatnybezwartościowy,filiżankabezwartościowy,nieprzydatny,filiżanka
bijatyka,748.556705886206,776.608666636628,0.139041622426755,0.227641414166613,29.6095488058191,27.4418704214368,0.0994166649151586,0.0960212323977396,95,100,1,0,68,72,87,88,0,0,0.781609195402299,0.818181818181818,95,99,1,1,83,83,87,87,0,1,0.954022988505747,0.954022988505747,68,72,28.0519607504222,0.0885997917398575,pl,combat,fight,walka,bijatyka,walkabijatyka,porywaczbijatyka,walka,porywacz
biologia,540.255691484264,593.582589480682,-0.69503025376881,-0.487831768309248,11.7743782585123,15.864208705502,0.0412161770367783,0.0856155053562297,101,106,3,2,95,95,95,95,0,0,1,1,101,106,3,2,94,92,95,95,0,0,0.989473684210526,0.968421052631579,94,95,53.3268979964187,0.207198485459562,pl,chemistry,biology,chemia,biologia,chemiabiologia,tancerzbiologia,chemia,tancerz
biologiczny,673.298983350401,661.352594060004,-0.234336341900854,-0.289807344371619,44.6788074195808,28.7894801602212,0.175605942982733,0.0859921783619441,64,114,2,1,60,101,60,103,1,0,1,0.980582524271845,64,114,2,1,60,99,60,103,1,0,1,0.961165048543689,60,101,-11.9463892903965,-0.0554710024707652,pl,chemical,biological,chemiczny,biologiczny,chemicznybiologiczny,gotówkabiologiczny,chemiczny,gotówka
bitwa,546.079782052523,616.524542410954,-0.806128920653053,-0.371133586948973,15.8334783557223,24.331658556768,0.0542280244764126,0.102707126807324,91,68,4,5,78,59,78,60,2,2,1,0.983333333333333,91,67,4,6,76,35,78,59,2,3,0.974358974358974,0.593220338983051,78,59,70.4447603584315,0.434995333704079,pl,war,battle,wojna,bitwa,wojnabitwa,sherlockbitwa,wojna,sherlock
biznes,605.99921154493,620.664525681724,-0.577662403717585,-0.404477029458388,14.2639196234973,29.5636798170948,0.0473755400058757,0.11201724830148,116,85,3,1,104,78,104,78,1,0,1,1,117,85,2,1,104,78,105,78,0,0,0.99047619047619,1,104,78,14.665314136794,0.173185374259197,pl,industry,business,przemysł,biznes,przemysłbiznes,bógbiznes,przemysł,bóg
blizna,635.448154642515,664.037301379477,-0.394554760264979,-0.260920456691899,25.5570958026546,22.7553072955603,0.0920716722847234,0.09068370125694,110,90,7,4,97,73,99,77,3,2,0.97979797979798,0.948051948051948,110,91,7,3,94,74,99,78,3,1,0.94949494949495,0.948717948717949,97,73,28.5891467369623,0.13363430357308,pl,tattoo,scar,tatuaż,blizna,tatuażblizna,użytecznyblizna,tatuaż,użyteczny
boczek,611.966918602738,638.69085714447,-0.499260479557971,-0.382388426091173,20.1762292186245,20.8213629032829,0.065066884994704,0.0845130184656053,92,86,5,5,86,77,87,77,1,2,0.988505747126437,1,92,86,5,5,79,72,87,77,1,2,0.908045977011494,0.935064935064935,86,77,26.7239385417327,0.116872053466798,pl,toast,bacon,tost,boczek,tostboczek,losboczek,tost,los
