target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sk_cue,sk_target,sk_word_combo,unrelated_sk_cue
vôbec,590.707212769863,640.791217408888,-0.556095304475761,-0.307288035406958,38.7224283764739,70.4093602592422,0.122314432830672,0.249704427829541,51,28,1,1,47,23,48,23,0,0,0.979166666666667,1,51,28,1,1,47,22,48,23,0,0,0.979166666666667,0.956521739130435,47,23,50.0840046390248,0.248807269068803,sk,never,ever,nikdy,vôbec,nikdyvôbec,nepohodlný
výbor,594.725000003698,531.651040006788,-0.560757368338102,-0.684039453109536,26.7825661976286,41.918783464803,0.0795649392501547,0.10222554495279,45,28,6,7,41,25,41,26,0,0,1,0.961538461538462,44,28,7,7,39,26,41,26,0,0,0.951219512195122,1,41,25,-63.0739599969106,-0.123282084771435,sk,commission,committee,komisia,výbor,komisiavýbor,golf
výbušný,665.10074359742,564.62625006631,-0.312698818660456,-0.517390671374597,33.7088896777029,24.003173690213,0.081671085661585,0.0760246012088557,46,30,7,2,39,25,39,26,0,0,1,0.961538461538462,46,29,7,3,37,22,39,25,0,1,0.948717948717949,0.88,39,24,-100.474493531111,-0.20469185271414,sk,bomb,explosive,bomba,výbušný,bombavýbušný,výročie
východný,514.869999997828,610.762647043313,-0.706005918412534,-0.262542351866624,24.2609571083105,38.0418578648541,0.0885287083284213,0.171391409034087,24,21,7,2,22,17,22,18,0,0,1,0.944444444444444,25,21,6,2,21,17,22,18,0,0,0.954545454545455,0.944444444444444,22,17,95.892647045485,0.44346356654591,sk,west,east,západný,východný,západnývýchodný,slovník
výkupné,689.754000004785,645.391833329364,-0.259649400167471,-0.15559866250996,39.1173633639517,57.4143305801606,0.147033601163522,0.277997984349725,39,15,4,3,35,12,35,12,0,0,1,1,38,15,5,3,32,11,35,12,0,0,0.914285714285714,0.916666666666667,35,12,-44.3621666754207,0.104050737657511,sk,kidnapper,ransom,únosca,výkupné,únoscavýkupné,fáza
výroba,531.334666691642,540.041807689048,-0.689991393723857,-0.654672462297129,28.9673545020396,23.1078859464617,0.142868446788073,0.0987856019523466,31,31,8,8,27,26,28,26,0,0,0.964285714285714,1,32,31,7,8,28,24,28,26,0,0,1,0.923076923076923,27,26,8.7071409974061,0.0353189314267279,sk,factory,production,továreň,výroba,továreňvýroba,otec
výrobok,711.939884633092,601.683500011281,-0.155034882033357,-0.436787484893326,66.738078530109,23.466205624967,0.1738572994973,0.0800713408133403,29,43,3,4,26,38,26,38,0,0,1,1,29,42,3,5,25,38,26,38,0,0,0.961538461538462,1,26,38,-110.256384621811,-0.281752602859969,sk,brand,product,značka,výrobok,značkavýrobok,sobota
výsosť,768.228347815593,846.10762504685,0.0322575225771331,0.616717350471432,72.5306395348219,62.8104856932922,0.215669318633926,0.331270377596179,28,31,4,4,23,24,23,25,0,0,1,0.96,29,31,3,4,21,22,23,25,0,0,0.91304347826087,0.88,23,24,77.8792772312569,0.584459827894299,sk,majesty,highness,veličenstvo,výsosť,veličenstvovýsosť,uhlie
výstava,654.57542424951,579.781250011511,-0.351395126392671,-0.472819928182056,49.9751733549543,30.5483579122143,0.147821463417948,0.124182181585581,38,39,11,3,33,32,34,33,0,0,0.970588235294118,0.96969696969697,38,40,11,2,33,33,34,33,0,0,0.970588235294118,1,33,32,-74.7941742379988,-0.121424801789385,sk,gallery,exhibition,galéria,výstava,galériavýstava,osol
vývoj,587.668560042033,558.510870970738,-0.4553066091856,-0.504901467728701,29.180207915256,24.8604667396342,0.118737587924117,0.104371922456749,29,36,3,2,25,31,25,31,0,0,1,1,29,36,3,2,24,31,25,31,0,0,0.96,1,25,31,-29.1576890712954,-0.0495948585431008,sk,progress,development,pokrok,vývoj,pokrokvývoj,nemocnica
