target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,he_cue,he_target,he_word_combo
אישיות,522.700190365064,507.442312519361,-0.402402540614839,-0.578338435174888,25.2496612304387,66.8935914225978,0.0996363238939219,0.182595528594778,24,20,0,0,21,17,22,17,0,0,0.954545454545455,1,24,20,0,0,21,15,22,17,0,0,0.954545454545455,0.88235294117647,21,16,-15.2578778457033,-0.17593589456005,he,character,personality,אופי,אישיות,אופיאישיות
אכזבה,512.38979997139,587.896000015891,-0.270570663185945,-0.166784648033121,33.1869277692403,22.0160835097969,0.16154801662755,0.0831477453702542,6,30,2,4,5,27,5,28,0,0,1,0.964285714285714,6,30,2,4,5,27,5,28,0,0,1,0.964285714285714,5,27,75.5062000445015,0.103786015152823,he,surprise,disappointment,הפתעה,אכזבה,הפתעהאכזבה
אכזרי,510.239857153293,723.638111116917,-0.568432484784665,0.525847581500274,35.5307849458771,109.416552808671,0.0966523679602457,0.600089213122711,15,9,1,1,14,9,15,9,0,0,0.933333333333333,1,15,9,1,1,12,9,15,9,0,0,0.8,1,14,9,213.398253963624,1.09428006628494,he,brutal,cruel,ברוטלי,אכזרי,ברוטליאכזרי
אכזריות,505.82279168498,613.595799989033,-0.477666380947078,0.00377110076898712,20.957365474638,52.9483010045973,0.0898524649596174,0.247226567795755,29,33,3,0,24,30,24,30,0,0,1,1,29,32,3,1,24,26,24,29,0,1,1,0.896551724137931,24,30,107.773008304053,0.481437481716065,he,evil,cruelty,רשע,אכזריות,רשעאכזריות
אלגנטי,553.50786365474,486.252230754301,-0.121150343985385,-0.529559081448744,32.7586329349766,31.1326679468655,0.174761267508973,0.136927897033519,28,13,2,0,23,13,23,13,0,0,1,1,28,13,2,0,21,12,23,13,0,0,0.91304347826087,0.923076923076923,22,13,-67.2556329004393,-0.408408737463359,he,fashionable,elegant,אופנתי,אלגנטי,אופנתיאלגנטי
אלוהי,556.019666754091,582.966700014306,-0.224854261555153,-0.196406326076692,42.5210933311163,48.7490771087073,0.200650278982611,0.207557695668469,11,13,0,0,9,10,9,10,0,0,1,1,11,13,0,0,9,9,9,10,0,0,1,0.9,9,10,26.9470332602151,0.0284479354784613,he,god,divine,אלוהים,אלוהי,אלוהיםאלוהי
אלוף משנה,629.828750017914,589.764399993478,-0.0970624988747867,-0.255397619359975,121.894349621427,53.7706506403386,0.372336907621329,0.142809403355452,6,11,1,0,4,10,4,10,0,0,1,1,6,11,1,0,4,10,4,10,0,0,1,1,4,10,-40.064350024436,-0.158335120485188,he,general,colonel,גנרל,אלוף משנה,גנרלאלוף משנה
אליבי,617.557909121285,633.415461576972,0.0328968219479427,0.181765331822711,41.0044321068502,32.0031454807688,0.339300784454104,0.153142026215707,11,32,1,2,11,26,11,28,0,0,1,0.928571428571429,11,32,1,2,10,27,11,28,0,0,0.909090909090909,0.964285714285714,11,26,15.8575524556878,0.148868509874768,he,motive,alibi,מניע,אליבי,מניעאליבי
אליפות,515.539000001488,488.635375027592,-0.353981729119622,-0.612072790004833,29.4117981749774,18.6813621546015,0.0923387959097811,0.0566993854898479,8,17,0,1,8,17,8,17,0,0,1,1,8,17,0,1,8,16,8,17,0,0,1,0.941176470588235,8,16,-26.9036249738963,-0.25809106088521,he,competition,championship,תחרות,אליפות,תחרותאליפות
אלמנט,573.165883747321,560.364416688896,-0.135026103502499,-0.30702616154803,19.088913369996,39.3323286758462,0.0866923612523653,0.156058721010121,52,15,3,1,43,12,47,12,1,0,0.914893617021277,1,53,15,2,1,48,12,48,12,0,0,1,1,43,12,-12.801467058425,-0.172000058045531,he,factor,element,גורם,אלמנט,גורםאלמנט
אלפא,879.461799985701,631.330624988441,1.1548929799681,0.174439300007675,115.593427530736,67.3247763499136,0.47603766913615,0.328211421522899,14,10,3,1,10,8,12,9,1,0,0.833333333333333,0.888888888888889,14,10,3,1,9,9,12,9,1,0,0.75,1,10,8,-248.131174997261,-0.98045367996043,he,bravo,alpha,הידד,אלפא,הידדאלפא
אמא,456.883749979508,525.462629647457,-0.750605107464136,-0.353729349343894,35.283830304263,40.1638566146998,0.0879589099410538,0.165766448974371,10,33,3,5,8,27,8,27,0,1,1,1,10,33,3,5,8,23,8,27,0,1,1,0.851851851851852,8,27,68.5788796679487,0.396875758120242,he,daddy,mum,אבא,אמא,אבאאמא
אמון,496.824799984661,620.922039991415,-0.578394556866529,-0.0779008014197905,26.5699877522601,82.1362113852208,0.0956592301099514,0.202634721569385,27,27,1,4,25,25,26,26,1,0,0.961538461538462,0.961538461538462,28,28,0,3,27,26,27,26,0,0,1,1,25,25,124.097240006754,0.500493755446739,he,respect,confidence,כבוד,אמון,כבודאמון
אמונה,481.851647035659,506.25171428059,-0.602080292653319,-0.459938714815401,23.32699286415,23.3038276705956,0.0940593844203273,0.119655428015178,19,8,1,1,17,7,17,7,0,0,1,1,20,8,0,1,17,7,17,7,0,0,1,1,17,7,24.4000672449315,0.142141577837918,he,hope,faith,תקווה,אמונה,תקווהאמונה
אמיץ,618.592857149666,521.448600038749,-0.201462235680598,-0.284702124511657,116.554376447858,91.2214954071569,0.403708849361829,0.489197878380279,14,6,1,0,14,5,14,5,0,0,1,1,13,6,2,0,13,4,13,5,1,0,1,0.8,14,5,-97.1442571109164,-0.0832398888310593,he,noble,brave,אצילי,אמיץ,אציליאמיץ
אמיתי,465.869961542815,432.281391313904,-0.646237776575433,-0.782578473246576,12.7554498010735,14.4298737467996,0.0557705508941532,0.0653475034388377,59,51,3,6,52,46,53,46,0,0,0.981132075471698,1,59,51,3,6,53,46,53,46,0,0,1,1,52,46,-33.5885702289112,-0.136340696671142,he,true,real,נכון,אמיתי,נכוןאמיתי
אמריקה,453.583945941965,454.987750015818,-0.718967678108015,-0.678099194191868,11.8573116775438,23.4811944202343,0.0531310000809775,0.153152625034664,40,8,2,0,37,8,37,8,1,0,1,1,40,8,2,0,37,8,37,8,1,0,1,1,37,8,1.40380407385288,0.0408684839161471,he,africa,america,אפריקה,אמריקה,אפריקהאמריקה
אנוכי,535.578064565343,486.925285659474,-0.396679089916766,-0.602470968972021,39.2260481564562,28.8419084735164,0.14837276014558,0.100367871618963,36,31,2,1,31,28,31,28,0,0,1,1,36,31,2,1,28,28,31,28,0,0,0.903225806451613,1,31,28,-48.6527789058694,-0.205791879055255,he,stubborn,selfish,עקשן,אנוכי,עקשןאנוכי
אנליזה,725.962166643323,758.393599985883,0.601264622596759,0.670749623045726,55.365195520204,71.6630485564432,0.213139777853034,0.362435456997244,42,31,0,0,30,21,38,26,0,0,0.789473684210526,0.807692307692308,40,31,2,0,30,25,36,26,2,0,0.833333333333333,0.961538461538462,30,20,32.43143334256,0.0694850004489672,he,autopsy,analysis,נתיחה,אנליזה,נתיחהאנליזה
