target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,th_cue,th_target,th_word_combo,unrelated_th_cue
การฉ้อโกง,756,637.829833312726,0.0791823325576478,-0.345035197456761,76,57.924779865911,0.394363960451187,0.151445377961438,2,6,1,0,2,6,2,6,0,0,1,1,2,6,1,0,2,6,2,6,0,0,1,1,2,6,-118.170166687274,-0.424217530014408,th,conspiracy,fraud,การสมคบคิด,การฉ้อโกง,การสมคบคิดการฉ้อโกง,จูบ
การซ่อมบำรุง,771.353857156504,676.798857134954,0.131516743331359,-0.28001576059865,101.82777469652,82.7527587454614,0.388894276650387,0.0792745478280419,7,8,2,0,7,7,7,7,0,0,1,1,7,8,2,0,7,7,7,7,0,0,1,1,7,7,-94.5550000215503,-0.411532503930009,th,service,maintenance,การบริการ,การซ่อมบำรุง,การบริการการซ่อมบำรุง,มุม
การตรวจสอบ,624.687999990495,620.548250012012,-0.715025870667946,-0.6271198710019,93.3112152304657,131.912971027413,0.202168540101667,0.0649901259189675,5,4,0,2,5,4,5,4,0,0,1,1,5,4,0,2,5,4,5,4,0,0,1,1,5,4,-4.13974997848345,0.0879059996660456,th,examination,inspection,การทดสอบ,การตรวจสอบ,การทดสอบการตรวจสอบ,ยากจน
การตลาด,648.238600047666,429.83349995903,-0.385212645122236,-0.890385693716212,83.4685960034739,55.6485000305695,0.301589362888744,0.151287092718411,5,2,0,0,5,2,5,2,0,0,1,1,5,2,0,0,5,2,5,2,0,0,1,1,5,2,-218.405100088637,-0.505173048593976,th,advertising,marketing,การโฆษณา,การตลาด,การโฆษณาการตลาด,การติดต่อ
การตั้งครรภ์,506.063999998814,592.780500000022,-0.874032297804112,-0.459635808158714,31.1187348376105,36.3466068945803,0.0564356040495883,0.0700090955240564,5,4,0,1,5,4,5,4,0,0,1,1,5,4,0,1,5,4,5,4,0,0,1,1,5,4,86.7165000012087,0.414396489645398,th,birth,pregnancy,การเกิด,การตั้งครรภ์,การเกิดการตั้งครรภ์,เข็มทิศ
การตั้งแคมป์,842.922666651546,675.428000026837,0.356593217341111,-0.23016958975891,73.1757733277452,87.9769672815331,0.210976372039442,0.240997548776412,3,5,1,1,3,5,3,5,0,0,1,1,3,5,1,1,3,5,3,5,0,0,1,1,3,5,-167.49466662471,-0.586762807100021,th,picnic,camping,ปิกนิก,การตั้งแคมป์,ปิกนิกการตั้งแคมป์,เสียงข้างมาก
การติดเชื้อ,670.442750023853,732.9521666607,-0.360129317644412,-0.110373154757778,72.8631948339583,130.560530166635,0.26318030758744,0.406747438538998,4,6,0,1,4,6,4,6,0,0,1,1,4,6,0,1,4,6,4,6,0,0,1,1,4,6,62.5094166368472,0.249756162886634,th,virus,infection,ไวรัส,การติดเชื้อ,ไวรัสการติดเชื้อ,ผู้บัญชาการ
การต่อสู้,648.826666698597,531.938833288664,-0.71198730707759,-0.704816787221408,248.083435540405,56.4473938386827,0.379603364851588,0.143693626406835,3,6,0,2,3,6,3,6,0,0,1,1,3,6,0,2,3,6,3,6,0,0,1,1,3,6,-116.887833409933,0.007170519856182,th,war,battle,สงคราม,การต่อสู้,สงครามการต่อสู้,เชอร์ล็อก
การต่อสู้,648.826666698597,531.938833288664,-0.71198730707759,-0.704816787221408,248.083435540405,56.4473938386827,0.379603364851588,0.143693626406835,3,6,0,2,3,6,3,6,0,0,1,1,3,6,0,2,3,6,3,6,0,0,1,1,3,6,-116.887833409933,0.007170519856182,th,war,battle,สงคราม,การต่อสู้,สงครามการต่อสู้,เครือข่าย
การต่อสู้.1,648.941250048374,564.173499970165,-0.306221324651985,-0.647763454207234,110.328129683876,14.7789449349757,0.316050749637477,0.0659713626205333,4,4,0,2,4,4,4,4,0,0,1,1,4,4,0,2,4,4,4,4,0,0,1,1,4,4,-84.7677500782086,-0.341542129555249,th,combat,fight,การสู้รบ,การต่อสู้,การสู้รบการต่อสู้,เชอร์ล็อก
