target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ur_cue,ur_target,ur_word_combo
اقرار نامہ,872.886095228961,1038.74926316113,-0.127501923710666,0.283683823184018,82.8994736815736,97.8827303007983,0.138861755270104,0.233246212048477,41,40,0,2,21,19,21,19,0,0,1,1,41,40,0,2,21,17,21,19,0,0,1,0.894736842105263,21,19,165.863167932165,0.411185746894684,ur,contract,agreement,معاہدہ,اقرار نامہ,معاہدہاقرار نامہ
الارم,739.603037018498,741.420399801027,-0.4658966503472,-0.353553941738097,93.3050738861188,80.089197213501,0.207217815085844,0.169803881209788,51,40,0,2,27,15,28,19,0,0,0.964285714285714,0.789473684210526,51,39,0,3,26,19,28,19,0,0,0.928571428571429,1,27,15,1.81736278252868,0.112342708609104,ur,alert,alarm,الرٹ,الارم,الرٹالارم
الزام,700.329961525742,737.803571422063,-0.56893606855926,-0.530898850888734,35.3616936478567,50.0867745774002,0.0813159840780465,0.149664921619835,38,51,0,1,26,21,26,22,0,0,1,0.954545454545455,37,50,1,2,26,21,26,22,0,0,1,0.954545454545455,26,21,37.4736098963212,0.0380372176705259,ur,complaint,accusation,شکایت,الزام,شکایتالزام
الفا,842.236222233778,898.457333352514,-0.185125282133793,0.298390392655239,140.551304224655,229.83647969685,0.357047814252798,0.611608710138573,34,26,2,1,9,9,20,13,0,0,0.45,0.692307692307692,34,26,2,1,4,11,20,13,0,0,0.2,0.846153846153846,9,9,56.2211111187358,0.483515674789032,ur,bravo,alpha,براوو,الفا,براووالفا
المناک,823.639208332883,1103.95300001452,-0.139095385795656,0.399023274722206,61.670053974349,111.915411575247,0.106462610549168,0.217029763233593,49,44,0,0,24,18,30,24,0,0,0.8,0.75,49,43,0,1,26,22,30,24,0,0,0.866666666666667,0.916666666666667,24,18,280.313791681642,0.538118660517863,ur,sad,tragic,اداس,المناک,اداسالمناک
الوداع,648.14007406936,669.651608702673,-0.764631349864672,-0.543268200033697,29.6019043802768,35.512029854116,0.0636529394394163,0.0961574859464062,41,54,2,1,27,23,27,23,0,0,1,1,43,54,0,1,26,21,27,23,0,0,0.962962962962963,0.91304347826087,27,23,21.5115346333134,0.221363149830976,ur,hello,bye,ہیلو,الوداع,ہیلوالوداع
الوھی,1005.97299999402,1074.32085721014,0.280681810917943,0.245857169022008,310.151146628801,257.827523058488,0.796576989926923,0.485204504838993,12,48,1,1,3,7,8,29,0,0,0.375,0.241379310344828,13,47,0,2,8,28,8,28,0,1,1,1,3,7,68.3478572161115,-0.0348246418959353,ur,god,divine,دیوتا,الوھی,دیوتاالوھی
الہام,806.60354840918,805.92242104804,-0.347852209811558,-0.271279781945587,70.1456247595023,76.8964932488023,0.20220083776776,0.133092551558262,50,41,1,0,31,19,31,25,0,0,1,0.76,51,39,0,2,31,20,31,25,0,0,1,0.8,31,19,-0.681127361139147,0.0765724278659714,ur,inspire,inspiration,تحریک دینا,الہام,تحریک دیناالہام
امریکہ,553.52075000798,646.138538318287,-1.07960078974785,-0.744642299778644,44.2678661575669,52.6460033157113,0.0913322654921228,0.0948992204556506,20,49,1,1,12,26,13,26,0,0,0.923076923076923,1,20,49,1,1,13,23,13,26,0,0,1,0.884615384615385,12,26,92.6177883103071,0.334958489969209,ur,africa,america,افریقی,امریکہ,افریقیامریکہ
امکان,626.023888891278,588.091535750428,-0.664836596911404,-0.82487299032857,50.9652956781126,28.1122756134342,0.193159532784191,0.063516576236939,41,50,0,1,27,28,27,29,0,1,1,0.96551724137931,41,50,0,1,24,29,27,29,0,1,0.888888888888889,1,27,28,-37.9323531408501,-0.160036393417165,ur,chance,possibility,موقع,امکان,موقعامکان
امیر,618.54195240502,653.484533283279,-0.771507949442424,-0.753238790325303,49.8453631851352,75.9112450902728,0.0810959834789187,0.108835728098969,33,35,2,0,21,15,21,16,0,0,1,0.9375,32,35,3,0,20,15,21,16,0,0,0.952380952380952,0.9375,21,15,34.9425808782596,0.018269159117121,ur,poor,rich,غریب,امیر,غریبامیر
انتخابات,604.543777816827,843.98315000433,-0.79775832681254,-0.2954981214311,48.3016475140758,79.6300408230771,0.0811169506554271,0.135036091135863,22,33,0,0,9,20,10,20,0,0,0.9,1,22,33,0,0,9,18,10,20,0,0,0.9,0.9,9,20,239.439372187503,0.502260205381439,ur,campaign,election,مہم,انتخابات,مہمانتخابات
انتظامی,685.268285720127,736.423649999598,-0.609752272011934,-0.396658025132934,38.3488876926923,47.7094782831972,0.118448496469109,0.127969046338366,51,37,4,1,28,20,29,20,0,0,0.96551724137931,1,52,37,3,1,28,20,29,20,0,0,0.96551724137931,1,28,20,51.1553642794712,0.213094246879,ur,management,administrative,دیکھ بھال,انتظامی,دیکھ بھالانتظامی
