target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_hk_cue,zh_hk_target,zh_hk_word_combo
車庫,677.449600003008,516.720769223412,-0.0415148378436013,-0.568419470287176,58.1394619627167,32.9841119798403,0.372175171326736,0.100625640148347,6,17,0,2,5,13,5,13,0,1,1,1,6,17,0,2,3,13,5,13,0,1,0.6,1,5,13,-160.728830779595,-0.526904632443575,zh_hk,workshop,garage,咪錶,車庫,咪錶車庫
車站,510.026500001979,529.429777785675,-0.631126804310058,-0.499297040165066,37.4648903403149,30.2263857960064,0.0893947270099026,0.122369697021604,17,21,1,1,12,18,12,18,0,0,1,1,17,21,1,1,11,18,12,18,0,0,0.916666666666667,1,12,18,19.4032777836957,0.131829764144993,zh_hk,platform,station,月台,車站,月台車站
軌道,690.84441666322,907.094111114936,-0.252347792589487,1.19627411418546,93.4081755052086,202.892832128854,0.206485798864807,0.83267152749505,19,12,0,1,12,9,12,9,0,0,1,1,19,11,0,2,12,4,12,9,0,0,1,0.444444444444444,12,9,216.249694451716,1.44862190677495,zh_hk,planet,orbit,行星,軌道,行星軌道
軍火庫,904.696500001844,730.606769229126,0.176810302535183,0.278649891262817,323.149404589989,70.5134964902269,0.629796196692079,0.300830793295884,10,15,0,0,6,13,6,13,0,0,1,1,10,15,0,0,5,13,6,13,0,0,0.833333333333333,1,6,13,-174.089730772718,0.101839588727633,zh_hk,arsenal,armory,兵工廠,軍火庫,兵工廠軍火庫
軍營,570.768166668227,648.962333346232,-0.519532158745114,-0.278860717051048,31.3258467903739,50.7555332327499,0.111374356197274,0.160877760863103,23,16,1,2,18,12,18,12,0,1,1,1,23,17,1,1,17,11,18,13,0,0,0.944444444444444,0.846153846153846,18,12,78.1941666780053,0.240671441694066,zh_hk,regiment,battalion,軍團,軍營,軍團軍營
軍用,549.431833333428,890.326857141768,-0.456234405711402,0.518075537834892,32.0613537631362,50.1612239772379,0.117217126861647,0.164992005689388,15,10,0,0,12,7,13,9,0,0,0.923076923076923,0.777777777777778,15,9,0,1,12,8,13,8,0,1,0.923076923076923,1,12,7,340.89502380834,0.974309943546294,zh_hk,civil,military,民間,軍用,民間軍用
軍隊,493.635538456252,618.197499997406,-0.7665018898423,-0.209167850841033,31.5099912086122,44.7086916315732,0.0847792598665076,0.236523056432019,16,19,0,1,13,16,14,16,0,0,0.928571428571429,1,16,19,0,1,12,9,14,16,0,0,0.857142857142857,0.5625,13,16,124.561961541154,0.557334039001268,zh_hk,legion,army,軍團,軍隊,軍團軍隊
輻射,582.403250015459,683.09266667858,-0.427409644248762,-0.0766165824600621,33.3036119898613,48.2128779956635,0.125714955520471,0.214714894280309,24,13,0,0,20,12,20,13,0,0,1,0.923076923076923,23,13,1,0,20,12,20,13,0,0,1,0.923076923076923,20,12,100.689416663121,0.3507930617887,zh_hk,contamination,radiation,污染,輻射,污染輻射
轉移,710.437545455688,699.952176468166,-0.287579372169883,0.00278485423703224,76.6726629032909,74.1262994797069,0.161019136369768,0.268652893250137,14,17,1,1,11,17,12,17,1,0,0.916666666666667,1,14,17,1,1,11,11,12,17,1,0,0.916666666666667,0.647058823529412,11,17,-10.4853689875218,0.290364226406915,zh_hk,move,transfer,移動,轉移,移動轉移
轎車,683.355857145517,764.838562521928,-0.064598936545615,0.175539764098306,69.4948691849697,76.3986960787902,0.255142416281637,0.319770704688106,9,21,0,0,7,16,7,17,0,0,1,0.941176470588235,9,21,0,0,7,16,7,17,0,0,1,0.941176470588235,7,16,81.482705376411,0.240138700643921,zh_hk,taxi,limousine,的士,轎車,的士轎車
辛苦,645.211529416272,540.048461545066,-0.412133152231022,-0.513032708077063,82.7248913030005,37.6567734536744,0.209805441298362,0.156143275271449,19,18,1,0,17,13,17,13,0,0,1,1,19,18,1,0,16,12,17,13,0,0,0.941176470588235,0.923076923076923,17,13,-105.163067871205,-0.100899555846041,zh_hk,tough,hard,艱難,辛苦,艱難辛苦
辦公室,525.295333337303,594.453944441232,-0.537786663961077,-0.211774069459616,69.4363944575253,54.0963079993071,0.156819383243543,0.273444125813891,9,19,1,2,6,18,6,18,0,0,1,1,9,19,1,2,5,18,6,18,0,0,0.833333333333333,1,6,18,69.1586111039288,0.326012594501461,zh_hk,desk,office,寫字枱,辦公室,寫字枱辦公室
迅速,590.160923069809,588.529727275785,-0.384225740156791,-0.477524315876478,47.6445092021874,53.9763495825509,0.124743925318367,0.135168162294921,15,13,2,0,13,11,13,12,1,0,1,0.916666666666667,15,13,2,0,12,12,13,12,1,0,0.923076923076923,1,13,11,-1.63119579402405,-0.0932985757196865,zh_hk,slowly,quickly,慢慢,迅速,慢慢迅速
迎接,728.288214286087,830.187666666744,-0.136957021016454,0.254726503301247,112.50542141249,169.266946378689,0.23202437652507,0.508098644334615,16,15,1,0,14,12,14,12,0,0,1,1,16,15,1,0,13,10,14,12,0,0,0.928571428571429,0.833333333333333,14,12,101.899452380658,0.391683524317701,zh_hk,congratulate,greet,祝賀,迎接,祝賀迎接
返回,433.887333337741,615.271333344636,-0.865956640814271,-0.332845755000365,28.9127621545893,41.2705573869565,0.0753906623542138,0.13016559663799,10,17,2,1,6,15,6,16,0,0,1,0.9375,10,17,2,1,6,15,6,16,0,0,1,0.9375,6,15,181.384000006894,0.533110885813906,zh_hk,back,return,回來,返回,回來返回
迷人,627.039550004408,581.09427272775,-0.264242760601452,-0.499812394642121,56.9275360461763,51.9317748230829,0.208058295420485,0.144293476830519,23,16,1,0,20,11,21,12,0,0,0.952380952380952,0.916666666666667,23,15,1,1,21,11,21,12,0,0,1,0.916666666666667,20,11,-45.9452772766579,-0.235569634040669,zh_hk,attractive,charming,吸引,迷人,吸引迷人
追趕,677.711882369817,560.936833345023,-0.0510776542067552,-0.425233463298063,74.4698408280176,36.2054013104439,0.299544660875188,0.097795272967618,18,14,0,1,17,12,17,12,0,0,1,1,18,14,0,1,16,12,17,12,0,0,0.941176470588235,1,17,12,-116.775049024794,-0.374155809091308,zh_hk,follow,chase,跟隨,追趕,跟隨追趕
送出,596.160250002999,714.790999997935,-0.386102877586461,-0.111021289873027,64.8021811858275,89.758425905024,0.119775479550697,0.317569733552126,6,24,0,1,4,16,4,16,0,0,1,1,6,24,0,1,4,15,4,16,0,0,1,0.9375,4,16,118.630749994937,0.275081587713434,zh_hk,bring,send,攜帶,送出,攜帶送出
