target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,cs_cue,cs_target,cs_word_combo,unrelated_cs_cue
kyslík,611.991666678435,635.85223254755,-0.69238741996464,-0.579158289179887,24.6946665555448,22.0822764823434,0.0680169772931404,0.080377316258253,75,98,4,5,72,86,73,88,1,0,0.986301369863014,0.977272727272727,75,98,4,5,72,70,73,88,1,0,0.986301369863014,0.795454545454545,72,86,23.8605658691143,0.113229130784753,cs,air,oxygen,vzduch,kyslík,vzduchkyslík,ožehavý
kytara,630.725161765095,728.723333328317,-0.579987310220594,-0.283350915423998,24.1043471068894,31.8054553793479,0.0867177865901445,0.109341338716138,77,83,2,1,68,72,68,74,0,1,1,0.972972972972973,77,82,2,2,68,67,68,73,0,2,1,0.917808219178082,68,72,97.9981715632221,0.296636394796596,cs,piano,guitar,klavír,kytara,klavírkytara,říci
kámen,597.350689658932,634.023841271312,-0.645963235895041,-0.559936676770327,16.9775867049882,27.759609675376,0.0485418970369764,0.0960586260656019,89,65,4,4,87,63,87,63,1,2,1,1,90,65,3,4,88,62,88,63,0,2,1,0.984126984126984,87,63,36.6731516123798,0.0860265591247139,cs,rock,stone,skála,kámen,skálakámen,pošta
káva,568.74487322793,627.258805960452,-0.813120178847717,-0.650830493497145,13.5644466459454,25.5000444522876,0.0429815233849627,0.0831006405716168,76,73,2,3,71,67,71,67,1,0,1,1,76,73,2,3,70,66,71,67,1,0,0.985915492957746,0.985074626865672,71,67,58.5139327325223,0.162289685350572,cs,cup,coffee,hrnek,káva,hrnekkáva,pěkný
kázání,757.945710147803,776.651281684096,-0.142548201221407,-0.206265025591957,32.2557973583197,35.8760928605974,0.108963519601295,0.0771076308624621,78,82,3,2,69,71,70,73,1,0,0.985714285714286,0.972602739726027,78,82,3,2,69,70,70,73,1,0,0.985714285714286,0.958904109589041,69,71,18.7055715362935,-0.0637168243705498,cs,speech,sermon,proslov,kázání,proslovkázání,dívka
křesťan,652.403941173045,718.644357138014,-0.507928223885912,-0.314768141847665,23.6795104830177,28.594035613302,0.0651016833783612,0.11159319242052,83,77,4,6,68,70,68,70,0,3,1,1,83,78,4,5,66,70,68,71,0,2,0.970588235294118,0.985915492957746,68,70,66.2404159649692,0.193160082038247,cs,catholic,christian,katolík,křesťan,katolíkkřesťan,frekvence
kůň,609.108738625153,612.435638887426,-0.6617954763337,-0.66762713118839,23.9899744458478,19.6006727502837,0.069766956479373,0.0642394364745147,95,81,2,1,88,72,89,74,0,0,0.98876404494382,0.972972972972973,95,81,2,1,87,68,89,74,0,0,0.97752808988764,0.918918918918919,88,72,3.32690026227294,-0.0058316548546905,cs,donkey,horse,osel,kůň,oselkůň,komfortní
lady,727.594260876972,1073.94887718451,-0.188995073123903,0.910372213767275,30.0573339649083,57.0429982230108,0.104140660488395,0.181888319444038,82,102,1,5,69,57,72,88,0,3,0.958333333333333,0.647727272727273,82,100,1,7,63,88,72,88,0,3,0.875,1,69,57,346.354616307543,1.09936728689118,cs,lord,lady,lord,lady,lordlady,užitečný
lahodné,751.565773335568,762.470028984672,-0.230799270571589,-0.149506428902432,28.0954050210145,29.4025871889957,0.0824336612147592,0.0704822050437601,84,77,8,4,75,69,76,71,4,1,0.986842105263158,0.971830985915493,86,77,6,4,74,70,77,71,3,1,0.961038961038961,0.985915492957746,75,69,10.904255649104,0.0812928416691567,cs,tasty,delicious,chutný,lahodné,chutnýlahodné,opačný
lano,719.280056332211,693.695882970353,-0.315988430979733,-0.338073386054488,28.0979646734152,23.2492414543298,0.0888404944621366,0.064644507485522,81,107,4,1,71,94,73,100,0,0,0.972602739726027,0.94,81,107,4,1,72,98,72,100,1,0,1,0.98,71,94,-25.5841733618578,-0.0220849550747543,cs,chain,rope,řetěz,lano,řetězlano,hnědý
lebka,632.543881607279,708.827382353925,-0.573495585664341,-0.363634834810832,19.3042740300549,25.3518968547663,0.0721046837822115,0.107066342258421,88,74,3,3,76,68,78,68,1,1,0.974358974358974,1,86,74,5,3,75,68,77,68,2,1,0.974025974025974,1,76,68,76.283500746647,0.209860750853509,cs,bone,skull,kost,lebka,kostlebka,inspektor
legenda,631.120676474252,660.916071433209,-0.549485888952898,-0.508178573734178,15.2301047540755,17.055181708803,0.0449368431132441,0.0627052543755973,74,77,2,1,68,70,68,71,0,0,1,0.985915492957746,74,77,2,1,63,69,68,71,0,0,0.926470588235294,0.971830985915493,68,70,29.7953949589569,0.0413073152187196,cs,myth,legend,mýtus,legenda,mýtuslegenda,zotavit se
legrační,749.838309854365,701.512910440277,-0.380188613442385,-0.361352407226651,38.0039044123795,23.7554430637566,0.0946355725614885,0.0694269862787124,79,74,5,1,71,67,71,67,1,1,1,1,79,74,5,1,70,60,71,67,1,1,0.985915492957746,0.895522388059702,71,67,-48.3253994140877,0.018836206215734,cs,witty,funny,vtipný,legrační,vtipnýlegrační,biskup
